split,cell_id,group,comparator,stratum,U_stratum,C_stratum,low_bins,high_bins,overlap_mass,weight,excess_NLL,Q1_U,Q5_U,Q1_M,Q5_M,Q1_C,Q5_C
development,67#4,PC_OFF,LN,1,1,1,0,11,0,0.0,,,0.12654676580992105,,-0.0052408877368593084,,0.05406770695381882
development,67#4,PC_OFF,LN,2,1,2,2,7,2,0.04081632653061224,0.1601627943261144,0.13461601041490212,0.1169786803657189,-0.11673959292238578,0.06914935029843557,0.15284756378969178,0.1590744060563988
development,67#4,PC_OFF,LN,3,1,3,4,9,4,0.08163265306122448,-0.024159792437759856,0.10448104181705276,0.1078975981541185,-0.10448104181705276,0.010579544158341983,0.4544928545001312,0.38602991356876576
development,67#4,PC_OFF,LN,4,1,4,3,2,2,0.04081632653061224,-0.21100652829467284,0.13270964487067735,0.1400413946248591,0.0011697959271259606,0.06309630861505866,1.3666096638771705,0.6335854749195278
development,67#4,PC_OFF,LN,5,1,5,0,5,0,0.0,,,0.13092827894724907,,-0.13092827894724907,,8.48540800907649
development,67#4,PC_OFF,LN,6,2,1,5,6,5,0.10204081632653061,0.19253843369762155,0.36929084407165647,0.4090765103076895,-0.36929084407165647,-0.20453898515552282,0.0412820796482265,0.03586453478783369
development,67#4,PC_OFF,LN,7,2,2,8,6,6,0.12244897959183673,-0.0774233464605413,0.3818346449988894,0.366762793622911,-0.3818346449988894,-0.15485148845861355,0.1396643648040481,0.13978861551731825
development,67#4,PC_OFF,LN,8,2,3,8,6,6,0.12244897959183673,-0.11821102292284534,0.3687991304323077,0.3604117079327504,-0.2666588081046939,-0.09083291950325172,0.42461943493253784,0.38849350705277175
development,67#4,PC_OFF,LN,9,2,4,4,2,2,0.04081632653061224,-0.015216777831066071,0.42882219862076454,0.3693822016939521,-0.21736228492227383,0.3693822016939521,0.8144567527051549,1.0790711138397455
development,67#4,PC_OFF,LN,10,2,5,1,1,1,0.02040816326530612,0.017144250584354693,0.4444533959031105,0.30614853650331497,-0.4444533959031105,-0.30614853650331497,3.261833406984806,11.832376010715961
development,67#4,PC_OFF,LN,11,3,1,8,2,2,0.04081632653061224,-0.08166856962310808,0.5858774958178401,0.5376888662576675,0.1486236322671175,-0.5376888662576675,0.038924844935536385,0.059924833476543427
development,67#4,PC_OFF,LN,12,3,2,6,1,1,0.02040816326530612,-1.0668355538558736,0.5654436225692431,0.6269773840904236,-0.39016590764125186,-0.6269773840904236,0.17107552972932658,0.09969216585159302
development,67#4,PC_OFF,LN,13,3,3,2,4,2,0.04081632653061224,-0.2677591113085277,0.5046995729207993,0.5213598646223545,-0.5046995729207993,-0.5213598646223545,0.2399583188816905,0.38689305214211345
development,67#4,PC_OFF,LN,14,3,4,7,0,0,0.0,,0.5542087114549109,,-0.09133743534662894,,1.0081436848933143,
development,67#4,PC_OFF,LN,15,3,5,0,0,0,0.0,,,,,,,
development,67#4,PC_OFF,LN,16,4,1,3,0,0,0.0,,0.8161008258660635,,0.34453598658243817,,0.05628155171871185,
development,67#4,PC_OFF,LN,17,4,2,6,1,1,0.02040816326530612,0.010865699700489392,0.7124383387466272,0.6321227848529816,0.24005629991491637,-0.6321227848529816,0.1774193917711576,0.10738378763198853
development,67#4,PC_OFF,LN,18,4,3,3,3,3,0.061224489795918366,0.11703402869557844,0.7850780809919039,0.8896405113240083,0.2616775259375572,0.8896405113240083,0.38257061565915745,0.5153934049109617
development,67#4,PC_OFF,LN,19,4,4,5,3,3,0.061224489795918366,-0.00067953180254339,0.7792288954369724,0.8573028774311146,0.5132103557698429,0.8573028774311146,1.1500541584566235,1.0817207700262468
development,67#4,PC_OFF,LN,20,4,5,0,1,0,0.0,,,0.713266909122467,,-0.713266909122467,,2.3954931795597076
development,67#4,PC_OFF,LN,21,5,1,0,1,0,0.0,,,1.6756056547164917,,1.6756056547164917,,0.017023470252752304
development,67#4,PC_OFF,LN,22,5,2,0,0,0,0.0,,,,,,,
development,67#4,PC_OFF,LN,23,5,3,0,1,0,0.0,,,1.3814217299222946,,1.3814217299222946,,0.2591393403708935
development,67#4,PC_OFF,LN,24,5,4,4,4,4,0.08163265306122448,-0.016681563778145437,1.6470746868290007,7.733315646648407,1.6470746868290007,7.733315646648407,1.4306056835921481,0.8629540205001831
development,67#4,PC_OFF,LN,25,5,5,5,8,5,0.10204081632653061,-0.2659356956784139,4.393539386987686,4.343143210280687,4.393539386987686,4.343143210280687,4.484338472434319,4.469949012855068
development,67#4,PC_OFF,CNN,1,1,1,0,11,0,0.0,,,0.12654676580992105,,-0.0052408877368593084,,0.05406770695381882
development,67#4,PC_OFF,CNN,2,1,2,2,7,2,0.04081632653061224,0.31869097697850257,0.13461601041490212,0.1169786803657189,-0.11673959292238578,0.06914935029843557,0.15284756378969178,0.1590744060563988
development,67#4,PC_OFF,CNN,3,1,3,4,9,4,0.08163265306122448,-0.19114404885898637,0.10448104181705276,0.1078975981541185,-0.10448104181705276,0.010579544158341983,0.4544928545001312,0.38602991356876576
