split,cell_id,group,feature,quintile,bins,event_rate,mean_signed_drive,mean_absolute_drive,mean_recent_change,mean_feature,aligned_nll,LN_nll,CNN_nll,aligned_minus_LN,aligned_minus_CNN
development,67#4,PC_OFF,A,1,84,0.2619047619047619,0.2688578556079024,0.7808976247307284,0.7454055936025161,0.609390956511142,0.5471258720881558,0.5399865524180335,0.5715033756172007,0.0071393196701224244,-0.024377503529044636
development,67#4,PC_OFF,A,2,84,0.2261904761904762,0.6585657016562653,1.1761905303934501,1.1667781314768253,0.9752775589457469,0.4763485004561863,0.4874324765695274,0.4819450802078927,-0.011083976113341143,-0.00559657975170637
development,67#4,PC_OFF,A,3,84,0.2619047619047619,0.42429602697181207,1.25464565228183,1.3992715100685018,1.6807179818929068,0.46244026492957147,0.4872152339215432,0.48957623118695587,-0.024774968991971697,-0.02713596625738449
development,67#4,PC_OFF,A,4,84,0.15476190476190477,1.1565597236538971,1.5109428034269339,1.9046688550567654,2.2814338410204607,0.3534729965257993,0.40234049850622544,0.4427900255730081,-0.04886750198042611,-0.08931702904720878
development,67#4,PC_OFF,A,5,84,0.19047619047619047,0.7924704745923269,1.084387343496755,1.3666791493763282,3.398935051648781,0.4724312381542917,0.5183324805188374,0.5491058410458701,-0.045901242364545666,-0.07667460289157847
development,67#6,MC_OFF,A,1,588,0.21768707482993196,0.1601162609674724,0.5575006560353186,0.6743483095048023,0.4982998840092778,0.43630589427573235,0.4385623518804185,0.4326756086806718,-0.002256457604686198,0.003630285595060508
development,67#6,MC_OFF,A,2,588,0.22959183673469388,0.9887460804784843,1.4193886757788796,1.3291611107370478,0.9562830821498253,0.3988033591549049,0.4083673113009993,0.36728540636325246,-0.009563952146094441,0.03151795279165239
development,67#6,MC_OFF,A,3,588,0.2653061224489796,0.5282171495892164,1.1082956678728808,1.4403958001388848,1.5511832254544593,0.4460632914993497,0.46632477192364463,0.5204609603127105,-0.020261480424294938,-0.0743976688133608
development,67#6,MC_OFF,A,4,588,0.19727891156462585,0.36033255500106387,0.9817887981925326,1.162526628735664,1.8434517021420234,0.40084167377808033,0.40735489380951967,0.3599929134016573,-0.006513220031439355,0.04084876037642308
development,67#6,MC_OFF,A,5,588,0.22448979591836735,1.0970988147227176,1.2674980766181154,1.6294844893450362,3.3626424094663188,0.48273934632323184,0.49702063976730504,0.4016536900761396,-0.014281293444073246,0.08108565624709221
development,67#7,MC_ON,A,1,588,0.27721088435374147,0.271874165786971,0.7154547790497302,0.7066624259613389,0.5828598692541859,0.49179384134599424,0.47866754003556433,0.3797262322818219,0.013126301310429921,0.1120676090641723
development,67#7,MC_ON,A,2,588,0.21258503401360543,0.6677607719327734,1.1686140163457446,1.113231820161961,0.972746780428269,0.43997931127493967,0.4342602343040411,0.4404989808887712,0.005719076970898502,-0.000519669613831568
development,67#7,MC_ON,A,3,588,0.24319727891156462,0.7158712588866436,1.2884947446094996,1.5603282843657078,1.6786009361085736,0.4201580164536769,0.4006982156223541,0.4742403806528656,0.01945980083132288,-0.05408236419918874
development,67#7,MC_ON,A,4,588,0.13435374149659865,0.441545307368292,1.0897055185442508,1.2203581618576296,2.021979990402976,0.3283846910328227,0.3017200928912853,0.2520736538140599,0.0266645981415374,0.07631103721876283
development,67#7,MC_ON,A,5,588,0.24149659863945577,0.9053106782812392,1.2244748466415791,1.76028518328542,3.1429038006804126,0.509585208353912,0.5254094233043147,0.3371452429359105,-0.015824214950402756,0.17243996541800147
development,67#14,PC_ON,A,1,588,0.20578231292517007,0.4199893711033621,0.8337871282870072,0.7989979069929437,0.5964617418298279,0.46102881821713654,0.4377767950981834,0.4056242519286694,0.023252023118953198,0.05540456628846714
development,67#14,PC_ON,A,2,588,0.1836734693877551,0.654829954420815,1.2034658909237588,1.2842772082311145,1.049974024024402,0.35885140862508264,0.35726794921011223,0.3560918145761396,0.0015834594149704694,0.0027595940489430998
development,67#14,PC_ON,A,3,588,0.2227891156462585,0.8233732229508903,1.3662033012702264,1.6576579706764147,1.7971260372899251,0.276590241136699,0.26982061951869507,0.3332219052543948,0.006769621618003881,-0.05663166411769585
development,67#14,PC_ON,A,4,588,0.1377551020408163,0.24286360986306613,0.9703650991279054,1.1880508155590221,2.0981220914424545,0.25915312414404357,0.2652704713031421,0.23828739789603862,-0.006117347159098548,0.02086572624800496
development,67#14,PC_ON,A,5,588,0.2585034013605442,0.8910989930695256,1.224475867462821,1.8170966424527468,3.1720402731018136,0.36743519689219445,0.4286456886435913,0.3483802414378897,-0.06121049175139693,0.01905495545430468
development,67#21,PC_ON,A,1,588,0.05952380952380952,0.3116447432323531,0.7534526007480703,0.7554654794124266,0.5873079164797619,0.2163436337994416,0.21645629151841211,0.21965216313601282,-0.00011265771897045379,-0.0033085293365712185
development,67#21,PC_ON,A,2,588,0.06972789115646258,0.7659235705248735,1.2969783400732835,1.2646983710777324,1.041587974199913,0.21583906175828968,0.21245903873255942,0.22799034114943242,0.003380023025730241,-0.012151279391142742
development,67#21,PC_ON,A,3,588,0.21428571428571427,0.7542744223236306,1.3141330004561627,1.4453558272195681,1.8304319992973423,0.4992898814931459,0.46370218137295116,0.49628778118778005,0.035587700120194805,0.003002100305365888
development,67#21,PC_ON,A,4,588,0.11904761904761904,0.27517991862121216,0.9678280048704307,1.3882753076315912,2.101818214728455,0.22350213259718804,0.23174633682260215,0.24145128662705378,-0.008244204225414118,-0.01794915402986572
development,67#21,PC_ON,A,5,588,0.141156462585034,0.8422525383343565,1.1538901945764555,1.8757816846371584,3.1813733279411673,0.30781019878484334,0.3156206248972679,0.3202723243248102,-0.007810426112424577,-0.01246212553996679
development,67#26,PC_ON,A,1,588,0.18537414965986396,0.31695563837115304,0.7687605325917025,0.7281380111132638,0.5968405488125083,0.4774124309626586,0.47939972563681504,0.4668137888548977,-0.0019872946741563004,0.010598642107761024
