split,cell_id,group,comparator,E,overlap_mass,low_bins,high_bins,low_overlap_fraction,high_overlap_fraction,retained_strata,residual_U_difference,residual_M_difference,residual_C_difference
development,67#4,PC_OFF,LN,-0.0564614796410202,54,84,84,0.6428571428571429,0.6428571428571429,5,0.2913591817669012,0.3512991432028779,0.2738088927127598
development,67#4,PC_OFF,CNN,-0.02852656519376058,54,84,84,0.6428571428571429,0.6428571428571429,5,0.2913591817669012,0.3512991432028779,0.2738088927127598
development,67#6,MC_OFF,LN,-0.009756935252241849,385,588,588,0.6547619047619048,0.6547619047619048,5,0.49081930399103263,0.5961747229481675,0.7549030141865765
development,67#6,MC_OFF,CNN,0.06385807398300669,385,588,588,0.6547619047619048,0.6547619047619048,5,0.49081930399103263,0.5961747229481675,0.7549030141865765
development,67#7,MC_ON,LN,-0.02878917800145504,469,588,588,0.7976190476190477,0.7976190476190477,5,0.14640255533210503,0.17676689177482569,0.7379092671545273
development,67#7,MC_ON,CNN,0.030202729021109306,469,588,588,0.7976190476190477,0.7976190476190477,5,0.14640255533210503,0.17676689177482569,0.7379092671545273
development,67#14,PC_ON,LN,-0.0823277954113774,504,588,588,0.8571428571428571,0.8571428571428571,5,0.3423901567664521,0.34299257272061073,0.840042346935751
development,67#14,PC_ON,CNN,-0.04750348061117744,504,588,588,0.8571428571428571,0.8571428571428571,5,0.3423901567664521,0.34299257272061073,0.840042346935751
development,67#21,PC_ON,LN,-0.009141719975427691,490,588,588,0.8333333333333334,0.8333333333333334,5,0.38135675651043155,0.39454446796533765,1.0149894498997605
development,67#21,PC_ON,CNN,-0.020447333369026398,490,588,588,0.8333333333333334,0.8333333333333334,5,0.38135675651043155,0.39454446796533765,1.0149894498997605
development,67#26,PC_ON,LN,0.004949194699500517,420,588,588,0.7142857142857143,0.7142857142857143,5,0.4046699904652645,0.4240307177478356,0.6600302590402627
development,67#26,PC_ON,CNN,-0.021610499192781733,420,588,588,0.7142857142857143,0.7142857142857143,5,0.4046699904652645,0.4240307177478356,0.6600302590402627
development,67#33,MC_OFF,LN,-0.040119704173328725,469,588,588,0.7976190476190477,0.7976190476190477,5,0.30904928374001933,0.37130851530487347,1.132927144321712
development,67#33,MC_OFF,CNN,-0.003764663434752585,469,588,588,0.7976190476190477,0.7976190476190477,5,0.30904928374001933,0.37130851530487347,1.132927144321712
development,67#34,PC_ON,LN,-0.06013412047665781,371,588,588,0.6309523809523809,0.6309523809523809,5,0.5045201550464979,0.6131369124831607,0.6635560420871409
development,67#34,PC_ON,CNN,0.011866177357388402,371,588,588,0.6309523809523809,0.6309523809523809,5,0.5045201550464979,0.6131369124831607,0.6635560420871409
development,68#3,MC_OFF,LN,0.0034262319694025943,448,588,588,0.7619047619047619,0.7619047619047619,5,0.39462266808683527,0.4826728266533224,1.0141962003486127
development,68#3,MC_OFF,CNN,0.0697030126374566,448,588,588,0.7619047619047619,0.7619047619047619,5,0.39462266808683527,0.4826728266533224,1.0141962003486127
development,68#4,PC_ON,LN,0.03404257653087558,324,504,504,0.6428571428571429,0.6428571428571429,5,0.7125275748614159,0.7747855285999505,1.016320593857471
development,68#4,PC_ON,CNN,-0.009011782334438022,324,504,504,0.6428571428571429,0.6428571428571429,5,0.7125275748614159,0.7747855285999505,1.016320593857471
development,68#7,PC_ON,LN,-0.05996746715602984,427,588,588,0.7261904761904762,0.7261904761904762,5,0.3146040655344892,0.40895975926166517,0.9974319752595819
development,68#7,PC_ON,CNN,-0.06381649733261373,427,588,588,0.7261904761904762,0.7261904761904762,5,0.3146040655344892,0.40895975926166517,0.9974319752595819
development,68#10,MC_ON,LN,-0.021906834555658644,66,84,84,0.7857142857142857,0.7857142857142857,5,-0.022283919718730172,-0.051185735861019856,0.28121965429099816
development,68#10,MC_ON,CNN,-0.06532586682174991,66,84,84,0.7857142857142857,0.7857142857142857,5,-0.022283919718730172,-0.051185735861019856,0.28121965429099816
development,68#11,PC_OFF,LN,-0.023240714680723095,434,588,588,0.7380952380952381,0.7380952380952381,5,0.43096514369457567,0.47043010967247184,1.1811298136082664
development,68#11,PC_OFF,CNN,0.0770897985745197,434,588,588,0.7380952380952381,0.7380952380952381,5,0.43096514369457567,0.47043010967247184,1.1811298136082664
development,69#3,PC_OFF,LN,-0.013573892998756722,406,588,588,0.6904761904761905,0.6904761904761905,5,0.6337799549782355,0.6925535557177578,0.6961532007651153
development,69#3,PC_OFF,CNN,-0.010100486071036847,406,588,588,0.6904761904761905,0.6904761904761905,5,0.6337799549782355,0.6925535557177578,0.6961532007651153
development,69#4,MC_ON,LN,-0.10568285994949483,390,504,504,0.7738095238095238,0.7738095238095238,5,0.3623120490716738,0.38461715949425834,0.7789277255927779
