split,cell_id,group,scored_bins,E_BC,B_BC,B_floor_BC,normalized_defined_BC,N_BC,G_BC,E_BC_U,N_BC_U,E_BC_LSC,E_AC,B_AC,B_floor_AC,normalized_defined_AC,N_AC,G_AC,E_AC_U,N_AC_U,E_AC_LSC,D,D_U
development,67#4,PC_OFF,480,-0.07497783913623207,0.36751610057527123,1.4210854715202004e-14,True,-0.2040123929778032,-0.1322144268797661,-0.0932133282089907,-0.2536305975794919,0.4741402760221509,-0.07775466311843438,0.06709449280473538,1.4210854715202004e-14,True,-1.1588829405823695,-0.1057116137841877,-0.0908813746862105,-1.3545280825164283,-0.6571500250353788,-0.9548705476045664,-1.1008974849369364
development,67#6,MC_OFF,3360,0.01878112104019597,0.31259832790035835,1.4210854715202004e-14,True,0.0600806829849151,0.09001351808763536,-0.07595308957795908,-0.24297343523273535,-0.05926594330287743,0.0758903758794845,0.11212905985365264,1.4210854715202004e-14,True,0.6768127368456871,0.02965701398674847,0.04449696638481978,0.3968370593929516,-0.16012442242192712,0.616732053860772,0.639810494625687
development,67#7,MC_ON,3360,0.26796905013360084,0.2975954588779322,1.4210854715202004e-14,True,0.9004473762602556,0.2683047565127786,0.07495551699137103,0.25187049988594185,-0.1103471715633221,-0.018419887566117454,0.22482767340795498,1.4210854715202004e-14,True,-0.08192891598666391,-0.18006622280212298,-0.2309995223039129,-1.0274514645034776,0.2772863902721574,-0.9823762922469195,-1.2793219643894194
development,67#14,PC_ON,3360,-0.0671980888434136,0.34522890071475193,1.4210854715202004e-14,True,-0.19464792404195774,0.11604322253176208,-0.19074972006879035,-0.5525311457814442,-0.07836611801335863,-0.13603843180353564,0.1069329743238947,1.4210854715202004e-14,True,-1.2721841196662307,-0.1500841596141638,-0.2070219117983641,-1.9359969467538136,-0.18011975499145344,-1.077536195624273,-1.3834658009723695
development,67#21,PC_ON,3360,0.11267976568894841,0.20901075323094542,1.4210854715202004e-14,True,0.5391098972043962,0.005052293482327275,0.17225996830324483,0.8241679705010536,0.15060799737319117,-0.08807832102759827,0.10802804293078386,1.4210854715202004e-14,True,-0.8153283040037312,-0.15574733292006984,-0.1734907053533741,-1.6059784167758526,0.13259337082537767,-1.3544382012081275,-2.4301463872769062
development,67#26,PC_ON,3360,-0.01400437140646954,0.29179192692486955,1.4210854715202004e-14,True,-0.047994375835063385,0.04241596785035434,-0.08612323088108612,-0.29515289126988453,0.19242218476219192,0.002909084118670885,0.10029588237339807,1.4210854715202004e-14,True,0.029005020443815095,-0.08726187141497846,-0.09713291758592521,-0.9684636625888863,-0.025601792817487538,0.07699939627887847,-0.6733107713190017
development,67#33,MC_OFF,3360,-0.2704686307627878,0.28343092285250426,1.4210854715202004e-14,True,-0.9542664859597485,-0.07454657603576426,-0.22060368591466872,-0.7783331603145841,-0.17008100208674834,-0.020393135029405776,0.12342348975092847,1.4210854715202004e-14,True,-0.1652289614445322,-0.08414452208724296,-0.018355647815731964,-0.1487208622343615,-0.05507742147239732,0.7890375245152164,0.6296122980802226
development,67#34,PC_ON,3360,0.15279746698744573,0.24691782219802155,1.4210854715202004e-14,True,0.6188191100474967,0.07853975508271627,0.0332625575402454,0.13471104371546624,0.08764277805434573,-0.029617883520521082,0.1459931653481486,1.4210854715202004e-14,True,-0.20287171286334932,-0.12692033252058782,-0.10999266221612296,-0.7534096678692077,-0.09479945800991069,-0.8216908229108459,-0.888120711584674
development,68#3,MC_OFF,3360,-0.10831633828920906,0.33994314724223357,1.4210854715202004e-14,True,-0.31863074507581113,-0.0954824705210437,0.05445783175440056,0.16019688055542858,0.06198855897742473,0.08805260169407857,0.11895231130898917,1.4210854715202004e-14,True,0.7402344748506327,0.0360106655776877,0.06136234404263499,0.5158566770782693,0.001767649739141501,1.0588652199264437,0.35565979652284074
development,68#4,PC_ON,2880,0.04428913693817568,0.04625628295826914,1.4210854715202004e-14,True,0.9574728902910735,0.0392658691555609,0.05283804413519413,1.1422890201286349,0.15110351354222562,-0.0567059261721678,0.25280985908340536,1.4210854715202004e-14,True,-0.22430266911963964,-0.06681881326931122,-0.17087162765974684,-0.6758898892601098,-0.0676603447316948,-1.181775559410713,-1.8181789093887448
development,68#7,PC_ON,3360,-0.07443706935783057,0.3384233620946956,1.4210854715202004e-14,True,-0.2199525142032069,-0.0475022735806534,-0.14871320607164257,-0.43942949195697234,-0.06552156493644906,0.0765058906216379,0.12106727196707846,1.4210854715202004e-14,True,0.6319287564556834,-0.15526454339616294,0.07112600061805958,0.5874915611991381,0.10854925307909652,0.8518812706588903,1.0269210531561104
development,68#10,MC_ON,480,0.019440030736885938,0.2371734610102273,1.4210854715202004e-14,True,0.0819654553847728,0.28922446985147554,-0.17188351438953584,-0.7247164739992724,-0.10665228789334681,0.15581034756248274,0.059912245555827325,1.4210854715202004e-14,True,2.600642758704409,-0.10862433025721838,0.21403784069168547,3.5725224235209327,0.13664701706440008,2.5186773033196364,4.297238897520205
development,68#11,PC_OFF,3360,-0.13785196600510777,0.20248981662267093,1.4210854715202004e-14,True,-0.6807846849009085,-0.1303235927607031,-0.08183122551723267,-0.4041251401285074,-0.012768197821391533,-0.04867412617083878,0.03748352935392607,1.4210854715202004e-14,True,-1.2985470421221312,-0.04765247187783744,-0.062487086013971536,-1.6670544927602065,-0.04207171555966806,-0.6177623572212227,-1.2629293526316991
development,69#3,PC_OFF,3360,-0.01521514247293751,0.16507199272943485,1.4210854715202004e-14,True,-0.09217276790179815,-0.05850827988686455,0.05627108830613968,0.34088816264774935,0.054877416967727126,0.05502585577724483,0.03447113079258173,1.4210854715202004e-14,True,1.5962880970846052,-0.036744028818433014,0.040878901757574415,1.1858880407361527,0.04432222152277663,1.6884608649864032,0.8449998780884034
development,69#4,MC_ON,2880,0.2571395698516589,0.27235880483053826,1.4210854715202004e-14,True,0.9441206426634573,0.40067433357763205,-0.08846899673160806,-0.32482517606380856,0.06349714629873765,0.04839044228631667,0.2835436139119569,1.4210854715202004e-14,True,0.1706631358001326,-0.21565669187034903,0.0565610105385099,0.19947904930093982,-0.21689101826818824,-0.7734575068633247,0.5243042253647484
development,69#6,MC_OFF,3360,0.07560775709998702,0.2549467789661521,1.4210854715202004e-14,True,0.29656290386012313,-0.040972537417671706,0.0336223407341744,0.1318798412379168,-0.027091599992145332,-0.10471560753988299,0.13438885354087107,1.4210854715202004e-14,True,-0.7791986074800192,0.0888979392913912,-0.14239131109383593,-1.0595470334191899,-0.6309771439885413,-1.0757615113401424,-1.1914268746571066
development,69#7,MC_ON,3360,0.14864627582208056,0.20787889149457855,1.4210854715202004e-14,True,0.7150619033676983,0.015512298341326669,0.04853973016406021,0.23350004329480523,-0.11318500723074323,0.2044453198900804,0.2492297005271243,1.4210854715202004e-14,True,0.8203088133463857,0.08810804895330815,0.1594344164098477,0.6397087348443693,0.34082823662265116,0.10524690997868746,0.40620869154956407
development,69#21,PC_OFF,2880,-0.02543707529464445,0.20275448290386094,1.4210854715202004e-14,True,-0.12545752345562597,-0.1043257641720221,-0.11679872699199577,-0.5760598992397008,-0.060794078573449456,-0.028197600077607934,0.04018687070727122,1.4210854715202004e-14,True,-0.7016620000846693,0.030654241315743902,-0.039293438757201135,-0.9777680636898053,0.029875810547272598,-0.5762044766290433,-0.4017081644501045
development,70#1,PC_ON,2880,0.09621473082557752,0.0868140136523574,1.4210854715202004e-14,True,1.1082857107708999,0.12055251388824964,0.03538948079494263,0.40764709873521254,0.11865428937427722,0.0022259069144959787,0.13280752497821913,1.4210854715202004e-14,True,0.01676039753666846,-0.11343712935926642,0.028257008819408347,0.2127666246625904,-0.06465942039521451,-1.0915253132342315,-0.19488047407262216
development,70#7,PC_ON,3360,-0.0260683590544859,0.2879642972010891,1.4210854715202004e-14,True,-0.09052635798208705,0.11039703520343402,-0.19587941396344094,-0.6802211797341524,-0.33215628956365106,-0.032445729939149945,0.12003395377450608,1.4210854715202004e-14,True,-0.27030460064743006,-0.22965067267627123,-0.12254611627146417,-1.020928765719718,-0.04824531050116615,-0.179778242665343,-0.3407075859855655
development,70#15,PC_ON,2880,0.060413701942981624,0.19448569776490798,1.4210854715202004e-14,True,0.31063313465861636,0.2177639640848484,0.028782655164847543,0.14799368537443652,0.07664817895945898,-0.039164571604641596,0.15272051207149026,1.4210854715202004e-14,True,-0.2564460469220284,-0.19502940520222237,-0.02647864122406675,-0.1733797304953495,0.013448926694802823,-0.5670791815806447,-0.321373415869786
development,70#34,MC_ON,3360,-0.0852154764991907,0.28430302509719385,1.4210854715202004e-14,True,-0.2997346808745997,0.1390536360431555,-0.13479308661408904,-0.47411766571251823,-0.29473225473985365,0.0013569347246570884,0.20755808696929282,1.4210854715202004e-14,True,0.006537614334717973,-0.22563557366147383,-0.09633918740516335,-0.46415530616938216,-0.15875465191855614,0.30627229520931765,0.009962359543136068
consumed,67#4,PC_OFF,4800,0.0031868868261382133,0.478770676311237,1.4210854715202004e-14,True,0.006656395188385549,0.5095941753549555,-0.11697671933991985,-0.24432724293222205,-0.09544860726183498,0.006576258699358198,0.06722177803391659,1.4210854715202004e-14,True,0.09782928824108404,-0.0020729131946844587,0.015213904282794805,0.22632403854475058,0.09089287954047001,0.09117289305269849,0.47065128147697266
consumed,67#6,MC_OFF,33600,0.4079920066031232,0.41714375053823555,1.4210854715202004e-14,True,0.9780609348137087,0.6430326478893155,0.14687635246865344,0.3521000908658961,0.2633333522445074,0.01425784881282946,0.15851647118049028,1.4210854715202004e-14,True,0.08994553503903809,0.04848917760614113,0.00968076175409893,0.06107101477849709,0.0017396796609000856,-0.8881153997746706,-0.29102907608739903
consumed,67#7,MC_ON,33600,0.05612466257691795,0.30179832206061236,1.4210854715202004e-14,True,0.18596744406566323,0.2883903854527916,0.0344725124044003,0.1142236715202046,0.02794142957758699,0.562307706294605,0.35548320194823907,1.4210854715202004e-14,True,1.5818123140920766,0.6260356682519843,0.15808673041642352,0.44470942522747414,0.08271200651709071,1.3958448700264134,0.3304857537072695
consumed,67#14,PC_ON,33600,0.3160235652754353,0.44475949934088377,1.4210854715202004e-14,True,0.7105493322655725,0.68329286796623,0.04247329043519375,0.09549720803746185,-0.14228239334387324,0.2294038194795971,0.16102975927407598,1.4210854715202004e-14,True,1.424605119660814,0.22062583861087673,0.07562881879892402,0.4696574045683209,0.017157977898668984,0.7140557873952416,0.374160196530859
consumed,67#21,PC_ON,33600,0.2964208213433074,0.2635223416913277,1.4210854715202004e-14,True,1.124841330115815,0.4639664539805829,0.08644629844374963,0.32804162974920353,-0.018789088997677943,0.21460113733149633,0.1264601641691233,1.4210854715202004e-14,True,1.6969860725824808,0.24438792231102152,0.07738788604674907,0.6119546542993038,0.002445124141333143,0.5721447424666657,0.2839130245501003
consumed,67#26,PC_ON,33600,0.26130225382949396,0.3306452547508212,1.4210854715202004e-14,True,0.790279763810356,0.4670795848618763,0.05565279980094365,0.1683157371875316,-0.011646177733891623,0.17820516283434432,0.13204973933194986,1.4210854715202004e-14,True,1.3495305915475366,0.22853270237443138,0.05063475976137167,0.38345217504810647,-0.018727147143520084,0.5592508277371806,0.21513643786057488
consumed,67#33,MC_OFF,33600,0.14915392414753426,0.4238749739557458,1.4210854715202004e-14,True,0.3518818833666422,0.507723373403792,-0.03481106500058939,-0.08212578505336293,0.14294730323288257,-0.0065356846544364355,0.15037999902714608,1.4210854715202004e-14,True,-0.043461129782669014,0.03627380901881461,-0.03506454442916654,-0.23317292629345482,-0.012820584284525004,-0.39534301314931125,-0.1510471412400919
consumed,67#34,PC_ON,33600,0.19050112066387098,0.30839165500004834,1.4210854715202004e-14,True,0.6177246289749349,0.44640551816257923,0.02273665470459578,0.07372655626687505,0.021782969282418286,0.19611699548307332,0.15810913940271634,1.4210854715202004e-14,True,1.2403900003752977,0.21953347057731806,0.025466870398299743,0.16107146300653521,0.10185000347221192,0.6226653714003628,0.08734490673966017
consumed,68#3,MC_OFF,33600,0.33214288729281927,0.4614319072684999,1.4210854715202004e-14,True,0.719809103056999,0.6445382051539568,0.06563741241852775,0.14224723384881657,0.1614915805128367,0.05845340556708034,0.19187228195946232,1.4210854715202004e-14,True,0.3046474715896173,0.10741077670819371,0.006924233120372731,0.03608771965215717,0.013937678768681015,-0.41516163146738166,-0.1061595141966594
consumed,68#4,PC_ON,28800,0.02990916540852326,0.0741040848729066,1.4210854715202004e-14,True,0.4036102120391805,0.058905493805333296,-0.0006306500891243676,-0.008510328279554011,0.02653908354919054,0.1276620626458163,0.36213075789023796,1.4210854715202004e-14,True,0.35253029427704885,0.32350585283318706,0.036450955370937815,0.10065688864237851,0.14844016136044336,-0.051079917762131666,0.10916721692193253
consumed,68#7,PC_ON,33600,0.35381853575321365,0.4296257245955153,1.4210854715202004e-14,True,0.8235506290651643,0.6489275812549392,0.04943313750540194,0.1150609348449568,0.08273479031225425,0.1825135698514254,0.201139470871663,1.4210854715202004e-14,True,0.9073980808464895,0.21495023704461422,0.02822632473644758,0.14033210196947063,-0.09134314686835121,0.08384745178132524,0.025271167124513827
consumed,68#10,MC_ON,4800,0.030155102042722315,0.2798600348685554,1.4210854715202004e-14,True,0.10775065491893317,0.24928843348420104,-0.03259778269982748,-0.11647887743292107,-0.06718740591292147,0.44809679447249123,0.29168462747521623,1.4210854715202004e-14,True,1.5362372654025622,0.5803534499250644,0.111371633795733,0.3818220890135734,-0.005494018030107045,1.4284866104836291,0.49830096644649446
consumed,68#11,PC_OFF,33600,-0.17091492544728135,0.2700721181880344,1.4210854715202004e-14,True,-0.6328492055899081,0.14672560124255377,-0.187248679422827,-0.6933284364158517,-0.016522988967361252,-0.011949465396127658,0.04340228187937075,1.4210854715202004e-14,True,-0.2753188283818616,-0.009080948351791702,-0.005323250743378958,-0.12264909845463948,0.03562683065029577,0.3575303772080465,0.5706793379612123
consumed,69#3,PC_OFF,33600,0.07753877489021768,0.20252344366144115,1.4210854715202004e-14,True,0.3828632058016918,0.21648550481512527,0.027989200421297714,0.13820227384681114,-0.08060914338248465,0.011355098378467328,0.05821962283088242,1.4210854715202004e-14,True,0.19503902337965767,0.031440301701917986,-0.0060887416466974785,-0.10458229288747169,0.02964690000022601,-0.18782418242203414,-0.24278456673428284
consumed,69#4,MC_ON,28800,0.015425486191953663,0.26253906707759445,1.4210854715202004e-14,True,0.058755012591686404,0.2601084017896253,-0.05510513154727524,-0.2098930729078454,-0.10078751312428705,0.5789771317867733,0.43049976900288334,1.4210854715202004e-14,True,1.344895336710147,0.6425092893222051,0.156146467216901,0.36270975842464437,0.0942402826407131,1.2861403241184606,0.5726028313324898
consumed,69#6,MC_OFF,33600,0.22378422067354226,0.3048259782649805,1.4210854715202004e-14,True,0.7341376281223975,0.4992837684104283,-0.0042434363252764964,-0.013920848706627437,0.12245522799387075,0.08802508841684767,0.17933090164413726,1.4210854715202004e-14,True,0.4908528737089825,0.11746012512181025,0.025378321686890325,0.1415167238563873,-0.013324378908419011,-0.24328475441341496,0.15543757256301474
consumed,69#7,MC_ON,33600,-0.009744134462126214,0.21362760674350467,1.4210854715202004e-14,True,-0.04561271181503082,0.13925242229993198,-0.017925179815288184,-0.08390853639441054,0.04938280361621982,0.5833373146980303,0.3416970369224555,1.4210854715202004e-14,True,1.7071769774533119,0.6540546564647632,0.0877826408276904,0.256901966778283,0.06801701780580596,1.7527896892683428,0.3408105031726935
