split,cell_id,group,pathway,quintile,bins,mean_delta_loss,median_delta_loss,normal_nll,recalibrated_off_nll,event_rate,mean_C,mean_U,mean_R,mean_V,mean_LSC
development,67#4,PC_OFF,BC,1,96,0.48886467764087277,-0.15865316926563905,0.4536524415604662,0.9425171192013391,0.20833333333333334,-0.03450180853087659,0.1228633381376009,-0.010338131876463964,0.16939055513708248,0.23249281129346566
development,67#4,PC_OFF,BC,2,96,0.1780563441098555,-0.13671913105800643,0.5355502858582145,0.71360662996807,0.19791666666666666,-0.1797915312514912,0.3959481199417496,-0.09569765746269428,0.4198229542638618,0.3278859546133157
development,67#4,PC_OFF,BC,3,96,0.41243171773311565,-0.04529972394847709,0.5828177966539846,0.9952495143871003,0.3229166666666667,-0.20723906735899314,0.5662635003463947,-0.13773387845391813,0.5525823712102862,0.18540088964241921
development,67#4,PC_OFF,BC,4,96,0.4015775126314057,-0.012786927751235438,0.45929165116142406,0.8608691637928297,0.25,-0.15143839107380094,0.7678265749273123,-0.14342562115220622,0.7295390130735214,0.23984128491779666
development,67#4,PC_OFF,BC,5,96,0.3566502507611067,0.1606690952484316,0.27777380710421856,0.6344240578653252,0.10416666666666667,3.7752107782871462,3.7752107782871462,3.4839906879066036,3.4839906879066036,1.1787953838990228
development,67#4,PC_OFF,AC,1,96,0.14813557384929596,-0.0011887314500023086,0.4536524415604662,0.6017880154097622,0.20833333333333334,-0.03450180853087659,0.1228633381376009,-0.010338131876463964,0.16939055513708248,0.23249281129346566
development,67#4,PC_OFF,AC,2,96,0.039061101576496664,-0.002499576812143232,0.5355502858582145,0.5746113874347112,0.19791666666666666,-0.1797915312514912,0.3959481199417496,-0.09569765746269428,0.4198229542638618,0.3278859546133157
development,67#4,PC_OFF,AC,3,96,0.04790486406731417,-0.03923993109884137,0.5828177966539846,0.6307226607212988,0.3229166666666667,-0.20723906735899314,0.5662635003463947,-0.13773387845391813,0.5525823712102862,0.18540088964241921
development,67#4,PC_OFF,AC,4,96,0.057946964465461874,-0.03563978749024386,0.45929165116142406,0.5172386156268859,0.25,-0.15143839107380094,0.7678265749273123,-0.14342562115220622,0.7295390130735214,0.23984128491779666
development,67#4,PC_OFF,AC,5,96,0.042423960065108256,-0.0260671259775333,0.27777380710421856,0.32019776716932685,0.10416666666666667,3.7752107782871462,3.7752107782871462,3.4839906879066036,3.4839906879066036,1.1787953838990228
development,67#6,MC_OFF,BC,1,672,0.31564150691744913,-0.13915844509274503,0.47303471602855396,0.788676222946003,0.1949404761904762,0.0033643139312516733,0.09415638998607392,0.03757777570543145,0.170305751466623,0.296756949429017
development,67#6,MC_OFF,BC,2,672,0.26636264813274513,-0.10444867180909176,0.3887630130628625,0.6551256611956077,0.18898809523809523,-0.08560934198831091,0.3134405666579066,0.051612623498364145,0.3281550891310222,0.4375909160694808
development,67#6,MC_OFF,BC,3,672,0.2253892053686731,-0.06808814589092216,0.476944831018091,0.7023340363867642,0.24107142857142858,-0.14439212541534896,0.516256049556614,-0.033042009646360775,0.49494520455146634,0.32527738640515913
development,67#6,MC_OFF,BC,4,672,0.34994325407783966,0.0005114850446540087,0.4408486216503364,0.7907918757281761,0.26785714285714285,-0.18844417983697592,0.7192214456647587,-0.1627112334911306,0.6431742110759647,0.2845190188477397
