split,comparator,estimate,available,cells,mean,median,positive,negative,zero,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high
development,LN,raw,True,22,0.008306183803189425,0.01006852798979549,17,5,0,-0.0013404823088190606,0.01821413088235099,0.0033913435569237365,0.013889456516423164
development,LN,matched,True,22,0.01665513988952944,0.015300496604101467,16,6,0,-0.00030353764208369697,0.034497037455152174,0.0008384698236475231,0.027849436650718297
development,CNN,raw,True,22,-0.020020377036232946,-0.010291158718347905,8,14,0,-0.037123581878130245,-0.004440526873891482,-0.03526259324639617,0.00768526093181786
development,CNN,matched,True,22,0.016565760790986237,-0.002062952390489285,11,11,0,-0.014761623641838246,0.0498669549376497,-0.0280770646974801,0.05039928263623674
consumed,LN,raw,True,22,0.0032340702866265753,0.004765097655848759,15,7,0,,,,
consumed,LN,matched,True,22,0.0035686743316529035,0.005953742154861866,14,8,0,,,,
consumed,CNN,raw,True,22,-0.023324473538816736,-0.0213465012304053,3,19,0,,,,
consumed,CNN,matched,True,22,-0.0030081720004854835,0.0004480340743356916,12,10,0,,,,
