split,cell_id,group,comparator,raw_E,matched_E,low_bins,high_bins,overlap_mass,low_overlap_fraction,high_overlap_fraction,eligible_mean_strata,raw_mean_drive_difference,matched_mean_drive_difference,Q1_event_rate,Q5_event_rate
development,67#4,PC_OFF,LN,0.00921839994785845,0.010355356010375062,96,96,23,0.23958333333333334,0.23958333333333334,3,3.158930731979732,0.11861884218182338,0.2604166666666667,0.09375
development,67#4,PC_OFF,CNN,0.012203710373464086,0.03359283644279186,96,96,23,0.23958333333333334,0.23958333333333334,3,3.158930731979732,0.11861884218182338,0.2604166666666667,0.09375
development,67#6,MC_OFF,LN,0.00436165558985043,0.01742332061038349,672,672,217,0.3229166666666667,0.3229166666666667,3,2.749914448110788,0.10168064149517209,0.25297619047619047,0.21577380952380953
development,67#6,MC_OFF,CNN,-0.04738563961685327,-0.13417736113397738,672,672,217,0.3229166666666667,0.3229166666666667,3,2.749914448110788,0.10168064149517209,0.25297619047619047,0.21577380952380953
development,67#7,MC_ON,LN,0.002745567150780486,0.10802369221803933,672,672,112,0.16666666666666666,0.16666666666666666,2,3.0302380734667365,0.1959591572170514,0.14434523809523808,0.3482142857142857
development,67#7,MC_ON,CNN,-0.12570233021166233,-0.00650115166565814,672,672,112,0.16666666666666666,0.16666666666666666,2,3.0302380734667365,0.1959591572170514,0.14434523809523808,0.3482142857142857
development,67#14,PC_ON,LN,0.035076438214235936,0.07550453372884816,672,672,105,0.15625,0.15625,3,2.9273305204775775,0.13022770462940184,0.1875,0.3125
development,67#14,PC_ON,CNN,0.00768526093181786,0.09837920330732597,672,672,105,0.15625,0.15625,3,2.9273305204775775,0.13022770462940184,0.1875,0.3125
development,67#21,PC_ON,LN,-0.016186559182474594,-0.01055339536058196,672,672,126,0.1875,0.1875,2,2.8508388025226545,0.08957340061598909,0.08333333333333333,0.17708333333333334
development,67#21,PC_ON,CNN,0.016068171142141915,-0.0077222492805400535,672,672,126,0.1875,0.1875,2,2.8508388025226545,0.08957340061598909,0.08333333333333333,0.17708333333333334
development,67#26,PC_ON,LN,0.013889456516423164,0.046927080744074215,672,672,147,0.21875,0.21875,3,2.849102743090286,0.09694262994992281,0.2425595238095238,0.34970238095238093
development,67#26,PC_ON,CNN,-0.013352580378799496,-0.029848631066990258,672,672,147,0.21875,0.21875,3,2.849102743090286,0.09694262994992281,0.2425595238095238,0.34970238095238093
development,67#33,MC_OFF,LN,-0.009765767804239855,-0.034799016541039396,672,672,98,0.14583333333333334,0.14583333333333334,3,2.969230124982278,0.06834876712354973,0.26339285714285715,0.15178571428571427
