group,mode,channel,family,name,kind,n_cells,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,positive_cells,negative_cells,zero_within_1e9_cells
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-09,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_uniform_x-09,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-08,response_minus_blank,4,0.187380013987422,0.28356608748435974,0.28356608748435974,64.99999237060547,0.0218107670545578,0.11751538515090942,0.11286448314785957,4,0,0
all,R4_normal,logit,Mach,Mach_uniform_x-08,response_minus_blank,22,0.01571952983398329,0.10148572379892523,0.2125951972874728,72.72726301713423,0.004694736365116004,0.0012107670984484932,0.04401819882067767,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-08,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_uniform_x-08,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-07,response_minus_blank,4,0.187380013987422,0.28356608748435974,0.28356608748435974,64.99999237060547,0.0218107670545578,0.11751538515090942,0.11286448314785957,4,0,0
all,R4_normal,logit,Mach,Mach_uniform_x-07,response_minus_blank,22,0.01571952983398329,0.10148572379892523,0.2125951972874728,72.72726301713423,0.004694736365116004,0.0012107670984484932,0.04401819882067767,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-07,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_uniform_x-07,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-06,response_minus_blank,4,0.187380013987422,0.28356608748435974,0.28356608748435974,64.99999237060547,0.0218107670545578,0.11751538515090942,0.11286448314785957,4,0,0
all,R4_normal,logit,Mach,Mach_uniform_x-06,response_minus_blank,22,0.01571952983398329,0.10148572379892523,0.2125951972874728,72.72726301713423,0.004694736365116004,0.0012107670984484932,0.04401819882067767,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_uniform_x-06,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
