cell_id,group,family,variant,target,support,n_pixels,original_mean_LM,variant_mean_LM,mean_delta,std_delta,histogram_max_error
67#33,MC_OFF,Hermann,contour_rearrangement,A,ac_support,12,1.25,1.25,0.0,0.0,0.0
67#33,MC_OFF,Hermann,contour_rearrangement,B,bc_support,9,1.25,1.25,0.0,0.0,0.0
67#33,MC_OFF,Hermann,contour_rearrangement,B,ac_support,12,1.0,1.0,0.0,0.0,0.0
67#34,PC_ON,White,remote_contour_rearrangement,A,bc_support,5,1.0,1.0,0.0,0.0,0.0
67#34,PC_ON,White,remote_contour_rearrangement,A,ac_support,16,0.90625,0.90625,0.0,0.0,0.0
67#34,PC_ON,White,remote_contour_rearrangement,B,bc_support,5,1.0,1.0,0.0,0.0,0.0
67#34,PC_ON,White,remote_contour_rearrangement,B,ac_support,16,1.09375,1.09375,0.0,0.0,0.0
67#34,PC_ON,Hermann,contour_rearrangement,A,bc_support,5,1.25,1.25,0.0,0.0,0.0
67#34,PC_ON,Hermann,contour_rearrangement,A,ac_support,16,1.25,1.25,0.0,0.0,0.0
67#34,PC_ON,Hermann,contour_rearrangement,B,bc_support,5,1.25,1.25,0.0,0.0,0.0
67#34,PC_ON,Hermann,contour_rearrangement,B,ac_support,16,1.0625,1.0625,0.0,0.0,0.0
68#3,MC_OFF,White,remote_contour_rearrangement,A,bc_support,9,1.0,1.0,0.0,0.0,0.0
68#3,MC_OFF,White,remote_contour_rearrangement,A,ac_support,12,0.875,0.875,0.0,0.0,0.0
68#3,MC_OFF,White,remote_contour_rearrangement,B,bc_support,9,1.0,1.0,0.0,0.0,0.0
68#3,MC_OFF,White,remote_contour_rearrangement,B,ac_support,12,1.125,1.125,0.0,0.0,0.0
68#3,MC_OFF,Hermann,contour_rearrangement,A,bc_support,9,1.25,1.25,0.0,0.0,0.0
68#3,MC_OFF,Hermann,contour_rearrangement,A,ac_support,12,1.25,1.25,0.0,0.0,0.0
68#3,MC_OFF,Hermann,contour_rearrangement,B,bc_support,9,1.25,1.25,0.0,0.0,0.0
68#3,MC_OFF,Hermann,contour_rearrangement,B,ac_support,12,1.0,1.0,0.0,0.0,0.0
68#4,PC_ON,White,remote_contour_rearrangement,A,bc_support,5,1.0,1.0,0.0,0.0,0.0
68#4,PC_ON,White,remote_contour_rearrangement,A,ac_support,16,0.90625,0.90625,0.0,0.0,0.0
68#4,PC_ON,White,remote_contour_rearrangement,B,bc_support,5,1.0,1.0,0.0,0.0,0.0
68#4,PC_ON,White,remote_contour_rearrangement,B,ac_support,16,1.09375,1.09375,0.0,0.0,0.0
68#4,PC_ON,Hermann,contour_rearrangement,A,bc_support,5,1.25,1.25,0.0,0.0,0.0
68#4,PC_ON,Hermann,contour_rearrangement,A,ac_support,16,1.25,1.25,0.0,0.0,0.0
68#4,PC_ON,Hermann,contour_rearrangement,B,bc_support,5,1.25,1.25,0.0,0.0,0.0
68#4,PC_ON,Hermann,contour_rearrangement,B,ac_support,16,1.0625,1.0625,0.0,0.0,0.0
68#7,PC_ON,White,remote_contour_rearrangement,A,bc_support,5,1.0,1.0,0.0,0.0,0.0
68#7,PC_ON,White,remote_contour_rearrangement,A,ac_support,16,0.90625,0.90625,0.0,0.0,0.0
68#7,PC_ON,White,remote_contour_rearrangement,B,bc_support,5,1.0,1.0,0.0,0.0,0.0
68#7,PC_ON,White,remote_contour_rearrangement,B,ac_support,16,1.09375,1.09375,0.0,0.0,0.0
68#7,PC_ON,Hermann,contour_rearrangement,A,bc_support,5,1.25,1.25,0.0,0.0,0.0
68#7,PC_ON,Hermann,contour_rearrangement,A,ac_support,16,1.25,1.25,0.0,0.0,0.0
68#7,PC_ON,Hermann,contour_rearrangement,B,bc_support,5,1.25,1.25,0.0,0.0,0.0
68#7,PC_ON,Hermann,contour_rearrangement,B,ac_support,16,1.0625,1.0625,0.0,0.0,0.0
68#10,MC_ON,White,remote_contour_rearrangement,A,bc_support,9,1.0,1.0,0.0,0.0,0.0
68#10,MC_ON,White,remote_contour_rearrangement,A,ac_support,12,0.875,0.875,0.0,0.0,0.0
68#10,MC_ON,White,remote_contour_rearrangement,B,bc_support,9,1.0,1.0,0.0,0.0,0.0
68#10,MC_ON,White,remote_contour_rearrangement,B,ac_support,12,1.125,1.125,0.0,0.0,0.0
68#10,MC_ON,Hermann,contour_rearrangement,A,bc_support,9,1.25,1.25,0.0,0.0,0.0
68#10,MC_ON,Hermann,contour_rearrangement,A,ac_support,12,1.25,1.25,0.0,0.0,0.0
68#10,MC_ON,Hermann,contour_rearrangement,B,bc_support,9,1.25,1.25,0.0,0.0,0.0
68#10,MC_ON,Hermann,contour_rearrangement,B,ac_support,12,1.0,1.0,0.0,0.0,0.0
68#11,PC_OFF,White,remote_contour_rearrangement,A,bc_support,5,1.0,1.0,0.0,0.0,0.0
68#11,PC_OFF,White,remote_contour_rearrangement,A,ac_support,16,0.90625,0.90625,0.0,0.0,0.0
68#11,PC_OFF,White,remote_contour_rearrangement,B,bc_support,5,1.0,1.0,0.0,0.0,0.0
68#11,PC_OFF,White,remote_contour_rearrangement,B,ac_support,16,1.09375,1.09375,0.0,0.0,0.0
68#11,PC_OFF,Hermann,contour_rearrangement,A,bc_support,5,1.25,1.25,0.0,0.0,0.0
68#11,PC_OFF,Hermann,contour_rearrangement,A,ac_support,16,1.25,1.25,0.0,0.0,0.0
68#11,PC_OFF,Hermann,contour_rearrangement,B,bc_support,5,1.25,1.25,0.0,0.0,0.0
68#11,PC_OFF,Hermann,contour_rearrangement,B,ac_support,16,1.0625,1.0625,0.0,0.0,0.0
69#3,PC_OFF,White,remote_contour_rearrangement,A,bc_support,5,1.0,1.0,0.0,0.0,0.0
69#3,PC_OFF,White,remote_contour_rearrangement,A,ac_support,16,0.90625,0.90625,0.0,0.0,0.0
69#3,PC_OFF,White,remote_contour_rearrangement,B,bc_support,5,1.0,1.0,0.0,0.0,0.0
69#3,PC_OFF,White,remote_contour_rearrangement,B,ac_support,16,1.09375,1.09375,0.0,0.0,0.0
69#3,PC_OFF,Hermann,contour_rearrangement,A,bc_support,5,1.25,1.25,0.0,0.0,0.0
69#3,PC_OFF,Hermann,contour_rearrangement,A,ac_support,16,1.25,1.25,0.0,0.0,0.0
69#3,PC_OFF,Hermann,contour_rearrangement,B,bc_support,5,1.25,1.25,0.0,0.0,0.0
69#3,PC_OFF,Hermann,contour_rearrangement,B,ac_support,16,1.0625,1.0625,0.0,0.0,0.0
69#4,MC_ON,White,remote_contour_rearrangement,A,bc_support,9,1.0,1.0,0.0,0.0,0.0
69#4,MC_ON,White,remote_contour_rearrangement,A,ac_support,12,0.875,0.875,0.0,0.0,0.0
69#4,MC_ON,White,remote_contour_rearrangement,B,bc_support,9,1.0,1.0,0.0,0.0,0.0
69#4,MC_ON,White,remote_contour_rearrangement,B,ac_support,12,1.125,1.125,0.0,0.0,0.0
69#4,MC_ON,Hermann,contour_rearrangement,A,bc_support,9,1.25,1.25,0.0,0.0,0.0
69#4,MC_ON,Hermann,contour_rearrangement,A,ac_support,12,1.25,1.25,0.0,0.0,0.0
69#4,MC_ON,Hermann,contour_rearrangement,B,bc_support,9,1.25,1.25,0.0,0.0,0.0
69#4,MC_ON,Hermann,contour_rearrangement,B,ac_support,12,1.0,1.0,0.0,0.0,0.0
69#6,MC_OFF,White,remote_contour_rearrangement,A,bc_support,9,1.0,1.0,0.0,0.0,0.0
69#6,MC_OFF,White,remote_contour_rearrangement,A,ac_support,12,0.875,0.875,0.0,0.0,0.0
69#6,MC_OFF,White,remote_contour_rearrangement,B,bc_support,9,1.0,1.0,0.0,0.0,0.0
69#6,MC_OFF,White,remote_contour_rearrangement,B,ac_support,12,1.125,1.125,0.0,0.0,0.0
69#6,MC_OFF,Hermann,contour_rearrangement,A,bc_support,9,1.25,1.25,0.0,0.0,0.0
69#6,MC_OFF,Hermann,contour_rearrangement,A,ac_support,12,1.25,1.25,0.0,0.0,0.0
69#6,MC_OFF,Hermann,contour_rearrangement,B,bc_support,9,1.25,1.25,0.0,0.0,0.0
69#6,MC_OFF,Hermann,contour_rearrangement,B,ac_support,12,1.0,1.0,0.0,0.0,0.0
69#7,MC_ON,White,remote_contour_rearrangement,A,bc_support,9,1.0,1.0,0.0,0.0,0.0
69#7,MC_ON,White,remote_contour_rearrangement,A,ac_support,12,0.875,0.875,0.0,0.0,0.0
69#7,MC_ON,White,remote_contour_rearrangement,B,bc_support,9,1.0,1.0,0.0,0.0,0.0
69#7,MC_ON,White,remote_contour_rearrangement,B,ac_support,12,1.125,1.125,0.0,0.0,0.0
69#7,MC_ON,Hermann,contour_rearrangement,A,bc_support,9,1.25,1.25,0.0,0.0,0.0
69#7,MC_ON,Hermann,contour_rearrangement,A,ac_support,12,1.25,1.25,0.0,0.0,0.0
69#7,MC_ON,Hermann,contour_rearrangement,B,bc_support,9,1.25,1.25,0.0,0.0,0.0
69#7,MC_ON,Hermann,contour_rearrangement,B,ac_support,12,1.0,1.0,0.0,0.0,0.0
69#21,PC_OFF,White,remote_contour_rearrangement,A,bc_support,5,1.0,1.0,0.0,0.0,0.0
69#21,PC_OFF,White,remote_contour_rearrangement,A,ac_support,16,0.90625,0.90625,0.0,0.0,0.0
69#21,PC_OFF,White,remote_contour_rearrangement,B,bc_support,5,1.0,1.0,0.0,0.0,0.0
69#21,PC_OFF,White,remote_contour_rearrangement,B,ac_support,16,1.09375,1.09375,0.0,0.0,0.0
69#21,PC_OFF,Hermann,contour_rearrangement,A,bc_support,5,1.25,1.25,0.0,0.0,0.0
69#21,PC_OFF,Hermann,contour_rearrangement,A,ac_support,16,1.25,1.25,0.0,0.0,0.0
69#21,PC_OFF,Hermann,contour_rearrangement,B,bc_support,5,1.25,1.25,0.0,0.0,0.0
69#21,PC_OFF,Hermann,contour_rearrangement,B,ac_support,16,1.0625,1.0625,0.0,0.0,0.0
70#1,PC_ON,White,remote_contour_rearrangement,A,bc_support,5,1.0,1.0,0.0,0.0,0.0
70#1,PC_ON,White,remote_contour_rearrangement,A,ac_support,16,0.90625,0.90625,0.0,0.0,0.0
70#1,PC_ON,White,remote_contour_rearrangement,B,bc_support,5,1.0,1.0,0.0,0.0,0.0
70#1,PC_ON,White,remote_contour_rearrangement,B,ac_support,16,1.09375,1.09375,0.0,0.0,0.0
70#1,PC_ON,Hermann,contour_rearrangement,A,bc_support,5,1.25,1.25,0.0,0.0,0.0
70#1,PC_ON,Hermann,contour_rearrangement,A,ac_support,16,1.25,1.25,0.0,0.0,0.0
70#1,PC_ON,Hermann,contour_rearrangement,B,bc_support,5,1.25,1.25,0.0,0.0,0.0
70#1,PC_ON,Hermann,contour_rearrangement,B,ac_support,16,1.0625,1.0625,0.0,0.0,0.0
70#7,PC_ON,White,remote_contour_rearrangement,A,bc_support,5,1.0,1.0,0.0,0.0,0.0
70#7,PC_ON,White,remote_contour_rearrangement,A,ac_support,16,0.90625,0.90625,0.0,0.0,0.0
70#7,PC_ON,White,remote_contour_rearrangement,B,bc_support,5,1.0,1.0,0.0,0.0,0.0
70#7,PC_ON,White,remote_contour_rearrangement,B,ac_support,16,1.09375,1.09375,0.0,0.0,0.0
70#7,PC_ON,Hermann,contour_rearrangement,A,bc_support,5,1.25,1.25,0.0,0.0,0.0
70#7,PC_ON,Hermann,contour_rearrangement,A,ac_support,16,1.25,1.25,0.0,0.0,0.0
70#7,PC_ON,Hermann,contour_rearrangement,B,bc_support,5,1.25,1.25,0.0,0.0,0.0
70#7,PC_ON,Hermann,contour_rearrangement,B,ac_support,16,1.0625,1.0625,0.0,0.0,0.0
70#15,PC_ON,White,remote_contour_rearrangement,A,bc_support,5,1.0,1.0,0.0,0.0,0.0
70#15,PC_ON,White,remote_contour_rearrangement,A,ac_support,16,0.90625,0.90625,0.0,0.0,0.0
70#15,PC_ON,White,remote_contour_rearrangement,B,bc_support,5,1.0,1.0,0.0,0.0,0.0
70#15,PC_ON,White,remote_contour_rearrangement,B,ac_support,16,1.09375,1.09375,0.0,0.0,0.0
70#15,PC_ON,Hermann,contour_rearrangement,A,bc_support,5,1.25,1.25,0.0,0.0,0.0
70#15,PC_ON,Hermann,contour_rearrangement,A,ac_support,16,1.25,1.25,0.0,0.0,0.0
70#15,PC_ON,Hermann,contour_rearrangement,B,bc_support,5,1.25,1.25,0.0,0.0,0.0
70#15,PC_ON,Hermann,contour_rearrangement,B,ac_support,16,1.0625,1.0625,0.0,0.0,0.0
70#34,MC_ON,White,remote_contour_rearrangement,A,bc_support,9,1.0,1.0,0.0,0.0,0.0
70#34,MC_ON,White,remote_contour_rearrangement,A,ac_support,12,0.875,0.875,0.0,0.0,0.0
70#34,MC_ON,White,remote_contour_rearrangement,B,bc_support,9,1.0,1.0,0.0,0.0,0.0
70#34,MC_ON,White,remote_contour_rearrangement,B,ac_support,12,1.125,1.125,0.0,0.0,0.0
70#34,MC_ON,Hermann,contour_rearrangement,A,bc_support,9,1.25,1.25,0.0,0.0,0.0
70#34,MC_ON,Hermann,contour_rearrangement,A,ac_support,12,1.25,1.25,0.0,0.0,0.0
70#34,MC_ON,Hermann,contour_rearrangement,B,bc_support,9,1.25,1.25,0.0,0.0,0.0
70#34,MC_ON,Hermann,contour_rearrangement,B,ac_support,12,1.0,1.0,0.0,0.0,0.0
